Group,Bond,DeltaHf298_kJ_per_mol
Iodine,I-C6H5,268(4)
Iodine,I-C6F5,276
Iodine,I-Cl,213.3(4)
Iodine,I-COCH3,219.7
Iodine,I-CN,305(4)
Iodine,I-F,280(4)
Iodine,I-N,159(17)
Iodine,I-NO,71(4)
Iodine,I-NO2,75(4)
Iodine,I-O,184(21)
Iridium,Ir-O,352(21)
Iridium,Ir-Si,463(21)
Iron,Fe-Fe,100(21)
Iron,Fe-Br,247(96)
Iron,Fe-Cl,ca. 352
Iron,Fe-O,409(13)
Iron,Fe-S,339(21)
Iron,Fe-Si,297(25)
Krypton,Kr-Kr,5.4(8)
Krypton,Kr-F,54
Lanthanum,La-La,247(21)
Lanthanum,La-C,506(63)
Lanthanum,La-F,598(42)
Lanthanum,La-N,519(42)
Lanthanum,La-O,799(13)
Lanthanum,La-S,577(25)
Lead,Pb-Pb,339(25)
Lead,Pb-Br,247(38)
Lead,Pb(CH3)3-CH3,207(42)
Lead,Pb-Cl,301(29)
Lead,Pb-F,356(8)
Lead,Pb-H,176(21)
Lead,Pb-I,197(38)
Lead,Pb-O,378(4)
Lead,Pb-S,346.0(17)
Lead,Pb-Se,303(4)
Lead,Pb-Te,251(13)
Lithium,Li-Li,106(4)
Lithium,Li-Br,423(21)
Lithium,Li-Cl,469(13)
Lithium,Li-F,577(21)
Lithium,Li-H,247
Lithium,Li-I,352(13)
Lithium,Li-Na,88
Lithium,Li-O,341(6)
Lithium,Li-OH,427(21)
Lutetium,Lu-Lu,142(34)
Lutetium,Lu-F,569(42)
Lutetium,Lu-O,695(13)
Lutetium,Lu-S,507(15)
Lutetium,Lu-Te,326(17)
Magnesium,Mg-Mg,8.522(4)
Magnesium,Mg-Br,297(63)
Magnesium,Mg-Cl,318(13)
Magnesium,Mg-F,462(21)
Magnesium,MgF-F,569(42)
Magnesium,Mg-H,197(50)
Magnesium,Mg-I,ca. 285
Magnesium,Mg-O,394(35)
Magnesium,Mg-OH,238(21)
Magnesium,Mg-S,310(75)
Manganese,Mn-Mn,42(29)
Manganese,Mn-Br,314(10)
Manganese,Mn-Cl,361(10)
Manganese,Mn-F,423(15)
Manganese,Mn-I,283(10)
Manganese,Mn-Cu,159(17)
Manganese,Mn-O,402(34)
Manganese,Mn-S,301(17)
Manganese,Mn-Se,201(13)
Mercury,Hg-Hg,17.2(21)
Mercury,Hg-Br,72.8(42)
Mercury,CH3-HgCH3,240.6
Mercury,C2H5-HgC2H5,182.8(42)
Mercury,C3H7-HgC3H7,197.1
Mercury,Isopropyl-Hgisopropyl,170.3
Mercury,C6H5-HgC6H5,285
Mercury,Hg-Cl,100(8)
Mercury,Hg-F,130(38)
Mercury,Hg-H,39.8
Mercury,Hg-I,38
Mercury,Hg-K,8.24(21)
Mercury,Hg-Na,>6.7
Mercury,Hg-S,213
Mercury,Hg-Se,(167)
Mercury,Hg-Te,(142)
Molybdenum,Mo-I,372
Molybdenum,Mo-O,607(34)
Molybdenum,MoO-O,678(84)
Molybdenum,MoO2-O,565(84)
Neodymium,Nd-F,545(13)
Neodymium,Nd-O,703(34)
Neodymium,Nd-S,474(15)
Neodymium,Nd-Se,385(17)
Neodymium,Nd-Te,305(17)
Neon,Ne-Ne,3.93
Neptunium,Np-O,720(29)
Nickel,Ni-Ni,261.9(25)
Nickel,Ni-Br,360(13)
Nickel,Ni-Cl,372(21)
Nickel,Ni-F,435
Nickel,Ni-H,289(13)
Nickel,Ni-I,293(21)
Nickel,Ni-O,391.6(38)
Nickel,Ni-S,360(21)
Nickel,Ni-Si,318(17)
Niobium,Nb-O,753(13)
Nitrogen,N-N,945.33(59)
Nitrogen,N-Br,276(21)
Nitrogen,ON-Br,28.7(15)
Nitrogen,ON-Cl,389(50)
Nitrogen,O2N-Cl,159(6)
Nitrogen,N-F,142(4)
Nitrogen,FN-F,301(42)
Nitrogen,F2F-N,318(21)
Nitrogen,ON-F,243(8)
Nitrogen,O2N-F,236(4)
Nitrogen,N-I,188(21)
Nitrogen,F2N-NF2,159(17)
Nitrogen,H2N-NH2,88(4)
Nitrogen,H2N-NHCH3,297(8)
Nitrogen,H2N-N(CH3)2,271
Nitrogen,H2N-NHC6H5,264
Nitrogen,HN-N2,213
Nitrogen,ON-N,38
Nitrogen,ON-NO2,480.7(42)
Nitrogen,O2N-NO2,39.8(8)
Nitrogen,HN=NH,57.3(21)
Nitrogen,N#N,946
Nitrogen,N-O,630.57(13)
Nitrogen,HN=O,481
Nitrogen,NN-O,167
Nitrogen,ON-O,305
Nitrogen,N-P,617(21)
Nitrogen,N-S,464(21)
Osmium,O3Os-O,301(21)
Oxygen,O-O,498.34(20)
Oxygen,O-Br,235.1(4)
Oxygen,HO-CH3,377(13)
Oxygen,HO-CH=CH2,364
Oxygen,HO-C6H5,456
Oxygen,HO-CH2C6H5,431
Oxygen,HO-CHO,322
Oxygen,HO-COCH3,402(13)
Oxygen,HO-COC2H5,452(21)
Oxygen,O-Cl,180
Oxygen,HO-Cl,272(4)
Oxygen,O-F,251(13)
Oxygen,O-FO,222(17)
Oxygen,FO-OF,467
Oxygen,O-I,261(84)
Oxygen,HO-I,184(21)
Oxygen,O-N,234(13)
Oxygen,HO-NCH3,630.57(13)
Oxygen,HO-OC(CH3)3,209
Oxygen,HO-OH,192(8)
Oxygen,O-OH,213.8(21)
Oxygen,CF3O-OCF3,268(4)
Oxygen,CH3O-OCH3,192
Oxygen,C2H5O-OC2H5,157.3(8)
Oxygen,C3H7O-OC3H7,159
Oxygen,,155
Palladium,Pd-O,234(29)
Phosphorus,P-P,490(11)
Phosphorus,P-Br,266.5
Phosphorus,P-C,513(8)
Phosphorus,P-Cl,289(42)
Phosphorus,P-F,439(96)
Phosphorus,P-H,343(29)
Phosphorus,P-N,617(21)
Phosphorus,P-O,596.6
Phosphorus,Br3P=O,498(21)
Phosphorus,Cl3P=O,510(21)
Phosphorus,F3P=O,544(21)
Phosphorus,P-S,346.0(17)
Phosphorus,P=S,347
Phosphorus,P-Se,363(10)
Phosphorus,P-Te,298(10)
Platinum,Pt-B,478(17)
Platinum,Pt-H,352(38)
Platinum,Pt-O,347(34)
Platinum,Pt-P,417(17)
Platinum,Pt-Si,501(18)
Potassium,K-K,57.3(42)
Potassium,K-Br,383(8)
Potassium,K-Cl,427(8)
Potassium,K-F,497.5(25)
Potassium,K-H,183(15)
Potassium,K-I,331(13)
Potassium,K-Na,63.6(29)
Potassium,K-O,239(34)
Potassium,K-OH,343(8)
Praseodymium,Pr-F,582(46)
Praseodymium,Pr-O,753(17)
Praseodymium,Pr-S,492.5(46)
Praseodymium,Pr-Se,446(23)
Praseodymium,Pr-Te,326(42)
Promethium,Pm-F,540(42)
Promethium,Pm-O,674(63)
Promethium,Pm-S,423(63)
Promethium,Pm-Se,339(63)
Promethium,Pm-Te,255(63)
Radium,Ra-Cl,343(75)
Rhodium,Rh-Rh,285(21)
Rhodium,Rh-B,476(21)
Rhodium,Rh-C,583.7(63)
Rhodium,Rh-O,377(63)
Rhodium,Rh-Si,395(18)
Rhodium,Rh-Ti,391(15)
Rubidium,Rb-Rb,45.6(21)
Rubidium,Rb-Br,389(13)
Rubidium,Rb-Cl,448(21)
Rubidium,Rb-F,494(21)
Rubidium,Rb-H,167(21)
Rubidium,Rb-I,335.3(13)
Rubidium,Rb-O,255(84)
Rubidium,Rb-OH,351(8)
Ruthenium,Ru-O,481(63)
Ruthenium,O3Ru-O,439
Ruthenium,Ru-Si,397(21)
Ruthenium,Ru-Th,592(42)
Samarium,Sm-Cl,423(13)
Samarium,Sm-F,531(18)
Samarium,Sm-O,619(13)
Samarium,Sm-S,389
Samarium,Sm-Se,331(15)
Samarium,Sm-Te,272(15)
Scandium,Sc-Sc,163(21)
Scandium,Sc-Br,444(63)
Scandium,Sc-C,393(63)
Scandium,Sc-Cl,318
Scandium,Sc-F,589(13)
Scandium,Sc-N,469(84)
Scandium,Sc-O,674(13)
Scandium,Sc-S,478(13)
Scandium,Sc-Se,385(17)
Scandium,Sc-Te,289(17)
Selenium,Se-Se,332.6(4)
Selenium,Se-Br,297(84)
Selenium,Se-C,582(96)
Selenium,Se-Cl,322
Selenium,Se-F,339(42)
Selenium,Se-H,305(2)
Selenium,Se-N,381(63)
Selenium,Se-O,423(13)
Selenium,Se-P,364(10)
Selenium,Se-S,381(21)
Selenium,Se-Si,531(25)
Selenium,Se-Te,268(8)
Silicon,Si-Si,327(10)
Silicon,Si-Br,343(50)
Silicon,Si-C,435(21)
Silicon,Si-Cl,456(42)
Silicon,Si-F,540(13)
Silicon,Si-H,298.49(46)
Silicon,Si-I,339(84)
Silicon,Si-N,439(38)
Silicon,Si-O,798(8)
Silicon,Si-S,619(13)
Silicon,Si-Se,531(25)
Silicon,H3Si-SiH3,339(17)
Silicon,(CH3)3Si-Si(CH3)3,339
Silicon,(Aryl)3Si-Si(aryl)3,368(31)
Silicon,Si-Te,506(38)
Silver,Ag-Ag,163(8)
Silver,Ag-Au,203(9)
Silver,Ag-Bi,193(42)
Silver,Ag-Br,293(29)
Silver,Ag-Cl,341.4
Silver,Ag-Cu,176(8)
Silver,Ag-F,354(16)
Silver,Ag-Ga,180(15)
Silver,Ag-Ge,175(21)
Silver,Ag-H,226(8)
Silver,Ag-I,234(29)
Silver,Ag-In,176(17)
Silver,Ag-O,213(84)
Silver,Ag-Sn,136(21)
Silver,Ag-Te,293(96)
Sodium,Na-Na,77.0
Sodium,Na-Br,370(13)
Sodium,Na-Cl,410(8)
Sodium,Na-F,481(13)
Sodium,Na-H,201(21)
Sodium,Na-I,301(8)
Sodium,Na-K,63.6(29)
Sodium,Na-O,257(17)
Sodium,Na-OH,381(13)
Sodium,Na-Rb,59(4)
Strontium,Sr-Br,332(19)
