Group,Bond,"ΔHf,298∘​ (kJ/mol)",Equilibrium Bond Distance re​ (Å)
Bromine,Br-CH2Br,255(13),1.93
Bromine,Br-CHBr2,259(17),1.93
Bromine,Br-CBr3,209(13),1.94
Bromine,Br-CCl3,218(13),1.94
Bromine,Br-CF3,285(13),1.92
Bromine,Br-CF2CF3,287.4(63),1.92
Bromine,Br-CF2CF2CF3,278.2(63),1.92
Bromine,Br-CHF2,289,1.93
Bromine,Br-Cl,218.84(4),2.14
Bromine,Br-CN,381,1.79
Bromine,Br-CO-C6H5,268,1.97
Bromine,Br-F,233.8(2),1.76
Bromine,Br-N,276(21),1.72
Bromine,Br-NF2,222,1.75
Bromine,Br-NO,120.1(63),1.87
Bromine,Br-O,235.1(4),1.72
Cadmium,Cd-Cd,11.3(8),2.62
Cadmium,Cd-Br,159(96),2.37
Cadmium,Cd-Cl,206.7(34),2.24
Cadmium,Cd-F,305(21),1.97
Cadmium,Cd-H,69.0(4),1.76
Cadmium,Cd-I,138(21),2.55
Cadmium,Cd-In,138,2.82
Cadmium,Cd-O,142(42),1.87
Cadmium,Cd-S,196,2.22
Cadmium,Cd-Se,310,2.35
Calcium,Ca-Ca,14.98(46),4.28
Calcium,Ca-Br,321(23),2.59
Calcium,Ca-Cl,398(13),2.44
Calcium,Ca-F,527(21),1.96
Calcium,Ca-H,167.8,2
Calcium,Ca-I,285(63),2.8
Calcium,Ca-O,464(84),1.82
Calcium,Ca-S,314(19),2.32
Carbon,C-C,607(21),1.24
Carbon,H3C-CH3,368,1.54
Carbon,(CH3)2C-CH3,335,1.53
Carbon,(CH3)2C-C(CH3)2,282.4,1.58
Carbon,CH3-C6H5,389,1.51
Carbon,CH3-CH2C6H5,301,1.52
Carbon,(CH3)3C-C(CH3)3,63,1.67
Carbon,CH3-allyl,301,1.5
Carbon,CH3-vinyl,121,1.48
Carbon,CH3-C#CH,490,1.46
Carbon,CH3=CH-CH=CH2,418,1.45
Carbon,HC#C-C#CH,628,1.38
Carbon,H2C=CH2,682,1.34
Carbon,HC#CH,962,1.2
Carbon,CH3-CN,506(21),1.46
Carbon,CH3-CH2CN,305(8),1.46
Carbon,CH3-CH(CH3)CN,331(8),1.47
Carbon,CH3-C(C6H5)CN(CH3),251,1.48
Carbon,CH3CH2-CH2CN,321.8(71),1.47
Carbon,NC-CN,603(21),1.37
Carbon,C6H5-C6H5,418,1.48
Carbon,CH3-CF3,423.4(46),1.49
Carbon,CH3F-CH2F,368(8),1.52
Carbon,CF3-CF3,406(13),1.54
Carbon,CF2=CF2,318(13),1.31
Carbon,CF3-CN,501,1.46
Carbon,CH3-CHO,314,1.5
Carbon,CH3-CO,342.7,1.51
Carbon,CH3CO-CF3,308.8,1.53
Carbon,CH3CO-COCH3,280(85),1.54
Carbon,C6H5CO-COC6H5,277.8,1.54
Carbon,Aryl-CH2COOCH3-aryl,273.6,1.52
Carbon,C6H5CH2-COOH,284.9,1.51
Carbon,(C6H5CH2)2CH-COOH,248.5,1.53
Carbon,C-Cl,397(29),1.77
Carbon,C-F,536(21),1.27
Carbon,C-H,337.2(8),1.12
Carbon,C-I,209(21),1.87
Carbon,C-N,770(4),1.17
Carbon,CF3-NF2,272(13),1.43
Carbon,CH3-NH2,331(13),1.47
Carbon,C6H5CH2-NH2,301(4),1.47
Carbon,CH3-NHC2H5,285,1.47
Carbon,CH3-N(CH3)C6H5,272,1.47
Carbon,C6H5CH2-NHCH3,289(4),1.47
Carbon,C6H5CH2-N(CH3)2,255(4),1.47
Carbon,CH3-(N=NCH3),219.7,1.48
Carbon,C2H5-(N=NC2H5),209.2,1.48
Carbon,(CH3)3C-N=NC(CH3)3,182,1.5
Carbon,Aryl-CH2N=NCH2-aryl,157,1.5
Carbon,CF3-(N=NCF3),231,1.49
Carbon,H2C=NH,644(21),1.27
Carbon,HC#N,937,1.16
Carbon,CH3-NO,174.9(38),1.49
Carbon,C2H5-NO,175.7(54),1.49
Carbon,C3H7-NO,167.8(75),1.49
Carbon,(CH3)2CH-NO,171.5(54),1.5
Carbon,C6H5-NO,215.5(42),1.47
Carbon,NC-NO,121(13),1.43
Carbon,Cl3C-NO,134,1.53
Carbon,F3C-NO,130,1.51
Carbon,C6F5-NO,211.3(42),1.47
Carbon,CH3-NO2,247(8),1.49
Carbon,C2H5-NO2,259,1.49
Carbon,C-O,1076.5(4),1.13
Carbon,CH3-OCH3,335,1.41
Carbon,CH3-OC6H5,381,1.37
Carbon,CH3-OCH2C6H5,213,1.42
Carbon,C2H5-OC2H5,285,1.42
Carbon,C6H5CH2-OCOCH3,289,1.44
Carbon,C6H5CH2-OCOC6H5,406,1.44
Carbon,CH3CO-OCH3,280,1.36
Carbon,CH3-OSOCH3,209,1.57
Carbon,CH2=CHCH2-OSOCH3,222,1.45
Carbon,C6H5CH2-OSOCH3,749,1.45
Carbon,C=O,732,1.23
Carbon,H2C=O,532.2(4),1.21
Carbon,OC=O,628,1.16
Carbon,SC=O,1075,1.16
Carbon,C#O,513(8),1.13
Carbon,C-P,699(8),1.56
Carbon,C-S,305(13),1.53
Carbon,CH3-SH,285(8),1.82
Carbon,CH3-SC6H5,247(8),1.78
Carbon,CH3-SCH2C6H5,310.4,1.82
Carbon,OC-S,582(96),1.56
Carbon,C-Se,243(21),1.67
Cerium,Ce-Ce,582(42),2.92
Cerium,Ce-F,519(21),1.98
Cerium,Ce-N,795(13),1.7
Cerium,Ce-O,573(13),1.8
Cerium,Ce-S,495(15),2.26
Cerium,Ce-Se,389(42),2.38
Cerium,Ce-Te,397.5(42),2.56
Cesium,Cs-Cs,41.75(93),4.65
Cesium,Cs-Br,439(21),3.07
Cesium,Cs-Cl,514(8),2.91
Cesium,Cs-F,178.1(38),2.35
Cesium,Cs-H,339(4),2.49
Cesium,Cs-I,297(25),3.32
Cesium,Cs-O,385(13),2.3
Chlorine,Cl-Cl,242.580(16),1.99
Chlorine,Cl-C,338(42),1.65
Chlorine,Cl-CH3,339(21),1.78
Chlorine,Cl-CH2Cl,213,1.77
Chlorine,Cl-C(CH3)3,328.4,1.81
Chlorine,Cl-CCl3,310(13),1.76
Chlorine,Cl-CF3,360(33),1.75
Chlorine,Cl-CCl2F,305(8),1.75
Chlorine,Cl-CClF2,318(8),1.75
Chlorine,Cl-CF2CF2,346.0(71),1.75
Chlorine,Cl-CH=CH2,351,1.73
Chlorine,Cl-CN,439,1.63
Chlorine,Cl-COCl,328,1.78
Chlorine,Cl-COCH3,349.4,1.79
Chlorine,Cl-COC6H5,310(13),1.77
Chlorine,Cl-Cl+,393,1.89
Chlorine,Cl-ClO,143.3(42),1.71
Chlorine,O3Cl-ClO4,243,1.71
Chlorine,Cl-F,250.54(8),1.63
Chlorine,O2Cl-F,255,1.63
Chlorine,Cl-N,389(50),1.57
Chlorine,Cl-NCl,280,1.74
Chlorine,Cl-NCl2,381,1.76
Chlorine,Cl-NF2,ca. 134,1.73
Chlorine,Cl-NH2,251(25),1.74
Chlorine,Cl-NO,159(6),1.97
Chlorine,Cl-NO2,142(4),1.84
Chlorine,Cl-O,272(4),1.57
Chlorine,OCl-O,243(13),1.65
Chlorine,O2Cl-O,201(4),1.47
Chlorine,Cl-P,289(42),2.07
Chlorine,Cl-SiCl3,464,2.02
Chromium,Cr-Cr,155(21),1.68
Chromium,Cr-Br,328(24),2.26
Chromium,Cr-Cl,366(24),2.13
Chromium,Cr-Cu,155(21),2.23
Chromium,Cr-F,437(20),1.78
Chromium,Cr-Ge,170(29),2.32
Chromium,Cr-H,280(50),1.66
Chromium,Cr-I,287(24),2.47
Chromium,Cr-N,378(19),1.57
Chromium,Cr-O,427(29),1.62
Chromium,OCr-O,531(63),1.58
Chromium,O2Cr-O,477(84),1.57
Chromium,Cr-S,339(21),2.07
Cobalt,Co-Co,167(25),2.1
Cobalt,Co-Br,331(42),2.22
Cobalt,Co-Cl,398(8),2.09
Cobalt,Co-Cu,162(17),2.25
Cobalt,Co-F,435(63),1.75
Cobalt,Co-Ge,239(25),2.28
Cobalt,Co-I,235(81),2.43
Cobalt,Co-O,368(21),1.63
Cobalt,Co-S,343(21),1.98
Copper,Cu-Cu,202(4),2.22
Copper,Cu-Br,331(25),2.17
Copper,Cu-Cl,383(21),2.05
Copper,Cu-F,431(13),1.74
Copper,Cu-Ga,216(15),2.34
Copper,Cu-Ge,209(21),2.28
Copper,Cu-H,280(8),1.46
Copper,Cu-I,197(21),2.34
Copper,Cu-Ni,206(17),2.21
Copper,Cu-O,343(63),1.72
Copper,Cu-S,285(17),2.05
Copper,Cu-Se,293(38),2.17
Copper,Cu-Sn,177(17),2.46
Copper,Cu-Te,176(38),2.56
Curium,Cm-O,736,1.81
Dysprosium,Dy-F,527(21),2.05
Dysprosium,Dy-O,611(42),1.82
Dysprosium,Dy-Se,322(42),2.42
Dysprosium,Dy-Te,234(42),2.62
Erbium,Er-F,565(17),2.03
Erbium,Er-O,611(13),1.81
Erbium,Er-S,418(42),2.28
Erbium,Er-Se,326(42),2.4
Erbium,Er-Te,239(42),2.6
Europium,Eu-Eu,33.5(165),3.25
Europium,Eu-Cl,ca. 326,2.51
Europium,Eu-F,528(18),2.08
Europium,Eu-O,557(13),1.89
Europium,Eu-S,364(15),2.36
Europium,Eu-Se,243(15),2.48
Fluorine,F-F,156.9(96),1.41
Fluorine,F-F+,>251,1.32
Fluorine,F-CH3,452(21),1.38
Fluorine,F-C(CH3)3,439,1.36
Fluorine,F-C6H5,485,1.35
Fluorine,F-CCl3,444(21),1.34
Fluorine,F-CCl2F,460(25),1.34
Fluorine,F-CClF2,490(25),1.33
Fluorine,F-CF3,498,1.32
Fluorine,F-COCH3,272(13),1.36
Fluorine,F-FO,81,1.42
Fluorine,F-N,301(42),1.37
Fluorine,F-NF,318(25),1.36
Fluorine,F-NF2,243(8),1.37
Fluorine,F-NO,235.6(42),1.51
Fluorine,F-NO2,197(25),1.46
Gadolinium,Gd-F,590(27),2.06
Gadolinium,Gd-O,716(17),1.81
Gadolinium,Gd-S,525(15),2.29
Gadolinium,Gd-Se,431(15),2.42
Gallium,Ga-Ga,138(21),2.73
Gallium,Ga-Br,444(17),2.35
Gallium,(CH3)2Ga-CH3,253,1.97
Gallium,Ga-Cl,481(13),2.2
Gallium,Ga-F,577(15),1.78
Gallium,Ga-H,274,1.59
Gallium,Ga-I,339(10),2.57
Gallium,Ga-O,285(63),1.73
Gallium,Ga-P,230(13),2.14
Gallium,Ga-Sb,209(13),2.48
Gallium,Ga-Te,251(25),2.5
Germanium,Ge-Ge,274(21),2.4
Germanium,Ge-Br,255(29),2.27
Germanium,Ge-Cl,431.8(4),2.15
Germanium,Ge-F,485(21),1.7
Germanium,Ge-H,321.3(8),1.59
Germanium,Ge-O,662(13),1.62
Germanium,Ge-S,551.0(25),2.01
Germanium,Ge-Se,490(21),2.13
Germanium,Ge-Si,301(21),2.36
Germanium,Ge-Te,402(8),2.34
Gold,Au-Au,221.3(21),2.47
Gold,Au-B,368(11),1.9
Gold,Au-Be,285(8),2.05
Gold,Au-Bi,293(84),2.6
Gold,Au-Cl,343(10),2.2
Gold,Au-Co,215(13),2.38
Gold,Au-Cr,215(6),2.42
Gold,Au-Cu,232(9),2.33
Gold,Au-Fe,187(17),2.41
Gold,Au-Ga,294(15),2.44
Gold,Au-Ge,277(15),2.38
Gold,Au-H,314(10),1.52
Gold,Au-La,80(5),2.78
Gold,Au-Li,68.0(16),2.47
Gold,Au-Mg,243(42),2.53
Gold,Au-Mn,185(13),2.45
Gold,Au-Ni,274(21),2.38
Gold,Au-Pb,130(42),2.63
Gold,Au-Pd,143(21),2.5
Gold,Au-Rh,231(29),2.46
Gold,Au-S,418(25),2.1
Gold,Au-Si,312(12),2.3
Gold,Au-Sn,244(17),2.56
Gold,Au-Te,247(67),2.62
Gold,Au-U,318(29),2.6
Hafnium,Hf-C,548(63),1.92
Hafnium,Hf-N,534(29),1.7
Hafnium,Hf-O,791(8),1.74
Hydrogen,H-H,436.002(4),0.74
Hydrogen,H-2H or H-D,439.446(4),0.74
Hydrogen,2H-2H or D-D,443.546(4),0.74
Hydrogen,H-Br,365.7(21),1.41
Hydrogen,H-C,337.2(8),1.12
Hydrogen,H-CH,452(33),1.1
Hydrogen,H-CH2,473(4),1.09
Hydrogen,H-CH3,431(8),1.09
Hydrogen,2H-C2H3 or D-CD3,442.75(25),1.09
Hydrogen,H-C#CH,523(4),1.06
Hydrogen,H-CH=CH2,427,1.08
Hydrogen,H-CH2CH3,410(4),1.09
Hydrogen,H-CH2C#CH,392.9(50),1.09
Hydrogen,H-CH2CH=CH2,356,1.09
Hydrogen,H-cyclopropyl,423(13),1.08
Hydrogen,H-CH2CH2CH3,410(8),1.09
Hydrogen,H-CH(CH3)2,395.4,1.09
Hydrogen,H-cyclobutyl,397(13),1.09
Hydrogen,H-CH2CH(CH3)2,360,1.09
Hydrogen,H-CH(CH3)CH2CH3,397(4),1.09
Hydrogen,H-C(CH3)3,381,1.09
Hydrogen,H-cyclopentadienyl,339(4),1.08
Hydrogen,H-allyl(divinylmethyl),335(4),1.09
Hydrogen,H-cyclopentenyl,343(4),1.09
Hydrogen,H-CH2C(CH3)3,414(4),1.09
Hydrogen,H-C(CH3)2CH=CH2,331,1.09
Hydrogen,H-cyclopentyl,395(42),1.09
Hydrogen,H-CH2C(CH3)3 isomer,418(34),1.09
Hydrogen,H-C6H5,431,1.08
Hydrogen,H-CH2C6H5,356(4),1.09
Hydrogen,H-C(C6H5)3,314,1.09
Hydrogen,H-cyclohexyl,310,1.09
Hydrogen,H-cyclohexyl2,399.6(42),1.09
Hydrogen,H-cycloheptyl,387.0(42),1.09
Hydrogen,H-norbornyl,406(13),1.09
Hydrogen,H-CH2Br,410(25),1.09
Hydrogen,H-CHBr2,435,1.09
Hydrogen,H-CH2Cl,423,1.09
Hydrogen,H-CHCl2,414.2,1.09
Hydrogen,H-CCl3,377(8),1.09
Hydrogen,H-CBr3,377(8),1.09
Hydrogen,H-CCl2CHCl2,393(8),1.09
Hydrogen,H-CH2F,423(8),1.09
Hydrogen,H-CHF2,423(8),1.09
Hydrogen,H-CF3,444(13),1.09
Hydrogen,H-CF2Cl,435(4),1.09
Hydrogen,H-CH2CF3,446(45),1.09
Hydrogen,H-CF2CH3,416(4),1.09
Hydrogen,H-CF2CF3,431(63),1.09
Hydrogen,H-CF2CF2,431(8),1.09
Hydrogen,H-CH2I,431(8),1.09
Hydrogen,H-CHI2,431(8),1.09
Hydrogen,H-CN,540(25),1.06
Hydrogen,H-CH2CN,ca. 389,1.09
Hydrogen,H-CH(CH3)CN,377(8),1.09
Hydrogen,H-C(CH3)2CN,364(8),1.09
Hydrogen,H-CH2NH2,397(8),1.09
Hydrogen,H-CH2Si(CH3)3,414(4),1.09
Hydrogen,H-CH2COCH3,393(75),1.09
Hydrogen,H-Cl,431.8(4),1.27
Hydrogen,H-CO,126(8),1.12
Hydrogen,H-CHO,364(4),1.1
Hydrogen,H-COOH,377,1.1
Hydrogen,H-COCH3,364(4),1.1
Hydrogen,H-COCH2CH3,364(4),1.1
Hydrogen,H-furanyl,385,1.08
Hydrogen,H-COC6H5,364(4),1.1
Hydrogen,H-COCF3,381(8),1.1
Hydrogen,H-F,568.6(13),0.92
Hydrogen,H-I,298.7(8),1.61
Hydrogen,H-N,436,1.04
Hydrogen,H-NH,314(17),1.04
Hydrogen,H-NH2,377(8),1.01
Hydrogen,H-NHCH3,435(8),1.01
Hydrogen,H-N(CH3)2,397(8),1.01
Hydrogen,H-NHC6H5,335(13),1.01
Hydrogen,H-N(CH3)C6H5,318(13),1.01
Hydrogen,HNF2,310(13),1.03
Hydrogen,H-N3,356,1.01
Hydrogen,H-NO,<205,1.06
Hydrogen,H-O,428.0(21),0.97
Hydrogen,H-OH,498.7(8),0.96
Hydrogen,H-OCH3,436.8(42),0.96
Hydrogen,H-OCH2CH3,436,0.96
Hydrogen,H-OC(CH3)3,439(4),0.96
Hydrogen,H-OC6H5,368(25),0.96
Hydrogen,H-ONO,327.6(25),0.98
Hydrogen,H-ONO2,423.4(25),0.97
Hydrogen,H-OOH,374(8),0.97
Hydrogen,H-OOCCH3,469(17),0.97
Hydrogen,H-OOCCH2CH3,460(17),0.97
Hydrogen,H-OOCC6H7,431(17),0.97
Hydrogen,H-P,343(29),1.42
Hydrogen,H-S,344(12),1.34
Hydrogen,H-SH,381(4),1.34
Hydrogen,H-SCH3,ca. 368,1.34
Hydrogen,H-Se,305(2),1.46
Hydrogen,H-Si,298.49(46),1.52
Hydrogen,H-SiH3,393(13),1.48
Hydrogen,H-Si(CH3)3,377(13),1.48
Hydrogen,H-Te,268(2),1.66
Indium,In-In,100(8),3.09
Indium,In-Br,418(21),2.47
Indium,In-Cl,439(8),2.35
Indium,In-F,506(15),1.98
Indium,In-O,360(21),1.83
Indium,In-P,197.9(85),2.38
Indium,In-S,289(17),2.24
Indium,In-Sb,152(11),2.69
Indium,In-Se,247(17),2.36
Indium,In-Te,218(17),2.57
Iodine,I-I,152.549(8),2.67
Iodine,I-Br,179.1(4),2.47
Iodine,I-CH3,232(13),2.14
Iodine,I-C2H5,223.8,2.14
Iodine,I-CH(CH3)2,222,2.14
Iodine,I-C(CH3)3,207.1,2.14
Iodine,I-CH2CF3,234(4),2.14
Iodine,I-CF2CF3,216(4),2.14
Iodine,I-C3F7,209(4),2.14
Iodine,I-CH=CHCH3,172,2.1
Iodine,I-C6H5,268(4),2.1
Iodine,I-C6F5,276,2.1
Iodine,I-Cl,213.3(4),2.32
Iodine,I-COCH3,219.7,2.14
Iodine,I-CN,305(4),1.99
Iodine,I-F,280(4),1.91
Iodine,I-N,159(17),1.86
Iodine,I-NO,71(4),2.08
Iodine,I-NO2,75(4),2.05
Iodine,I-O,184(21),1.87
Iridium,Ir-O,352(21),1.72
Iridium,Ir-Si,463(21),2.21
Iron,Fe-Fe,100(21),2.02
Iron,Fe-Br,247(96),2.32
Iron,Fe-Cl,ca. 352,2.17
Iron,Fe-O,409(13),1.64
Iron,Fe-S,339(21),2.03
Iron,Fe-Si,297(25),2.18
Krypton,Kr-Kr,5.4(8),4.01
Krypton,Kr-F,54,1.9
Lanthanum,La-La,247(21),2.83
Lanthanum,La-C,506(63),2.09
Lanthanum,La-F,598(42),2.02
Lanthanum,La-N,519(42),1.89
Lanthanum,La-O,799(13),1.83
Lanthanum,La-S,577(25),2.35
Lead,Pb-Pb,339(25),2.84
Lead,Pb-Br,247(38),2.49
Lead,$\text{Pb(CH}_3\text{)}_3\text{-CH}_3$,207(42),2.25
Lead,Pb-Cl,301(29),2.36
Lead,Pb-F,356(8),1.98
Lead,Pb-H,176(21),1.84
Lead,Pb-I,197(38),2.71
Lead,Pb-O,378(4),1.92
Lead,Pb-S,346.0(17),2.29
Lead,Pb-Se,303(4),2.4
Lead,Pb-Te,251(13),2.56
Lithium,Li-Li,106(4),2.67
Lithium,Li-Br,423(21),2.17
Lithium,Li-Cl,469(13),2.02
Lithium,Li-F,577(21),1.56
Lithium,Li-H,247,1.6
Lithium,Li-I,352(13),2.39
Lithium,Li-Na,88,2.89
Lithium,Li-O,341(6),1.69
Lithium,Li-OH,427(21),1.58
Lutetium,Lu-Lu,142(34),2.68
Lutetium,Lu-F,569(42),1.91
Lutetium,Lu-O,695(13),1.79
Lutetium,Lu-S,507(15),2.26
Lutetium,Lu-Te,326(17),2.53
Magnesium,Mg-Mg,8.522(4),3.89
Magnesium,Mg-Br,297(63),2.34
Magnesium,Mg-Cl,318(13),2.18
Magnesium,Mg-F,462(21),1.75
Magnesium,MgF-F,569(42),1.75
Magnesium,Mg-H,197(50),1.73
Magnesium,Mg-I,ca. 285,2.56
Magnesium,Mg-O,394(35),1.75
Magnesium,Mg-OH,238(21),1.75
Magnesium,Mg-S,310(75),2.14
Manganese,Mn-Mn,42(29),3.4
Manganese,Mn-Br,314(10),2.32
Manganese,Mn-Cl,361(10),2.21
Manganese,Mn-F,423(15),1.81
Manganese,Mn-I,283(10),2.56
Manganese,Mn-Cu,159(17),2.42
Manganese,Mn-O,402(34),1.65
Manganese,Mn-S,301(17),2.07
Manganese,Mn-Se,201(13),2.2
Mercury,Hg-Hg,17.2(21),3.25
Mercury,Hg-Br,72.8(42),2.42
Mercury,CH3-HgCH3,240.6,2.08
Mercury,C2H5-HgC2H5,182.8(42),2.08
Mercury,C3H7-HgC3H7,197.1,2.08
Mercury,Isopropyl-Hgisopropyl,170.3,2.08
Mercury,C6H5-HgC6H5,285,2.08
Mercury,Hg-Cl,100(8),2.25
Mercury,Hg-F,130(38),1.93
Mercury,Hg-H,39.8,1.74
Mercury,Hg-I,38,2.62
Mercury,Hg-K,8.24(21),3.49
Mercury,Hg-Na,>6.7,3.19
Mercury,Hg-S,213,2.22
Mercury,Hg-Se,-167,2.36
Mercury,Hg-Te,-142,2.53
Molybdenum,Mo-I,372,2.54
Molybdenum,Mo-O,607(34),1.69
Molybdenum,MoO-O,678(84),1.69
Molybdenum,MoO2-O,565(84),1.69
Neodymium,Nd-F,545(13),2.06
Neodymium,Nd-O,703(34),1.78
Neodymium,Nd-S,474(15),2.3
Neodymium,Nd-Se,385(17),2.42
Neodymium,Nd-Te,305(17),2.62
Neon,Ne-Ne,3.93,3.09
Neptunium,Np-O,720(29),1.77
Nickel,Ni-Ni,261.9(25),2.16
Nickel,Ni-Br,360(13),2.21
Nickel,Ni-Cl,372(21),2.06
Nickel,Ni-F,435,1.74
Nickel,Ni-H,289(13),1.47
Nickel,Ni-I,293(21),2.38
Nickel,Ni-O,391.6(38),1.63
Nickel,Ni-S,360(21),1.97
Nickel,Ni-Si,318(17),2.13
Niobium,Nb-O,753(13),1.69
Nitrogen,N-N,945.33(59),1.1
Nitrogen,N-Br,276(21),1.84
Nitrogen,ON-Br,28.7(15),2.14
Nitrogen,ON-Cl,389(50),1.98
Nitrogen,O2N-Cl,159(6),1.84
Nitrogen,N-F,142(4),1.32
Nitrogen,FN-F,301(42),1.36
Nitrogen,F2F-N,318(21),1.36
Nitrogen,ON-F,243(8),1.51
Nitrogen,O2N-F,236(4),1.35
Nitrogen,N-I,188(21),2.13
Nitrogen,F2N-NF2,159(17),1.45
Nitrogen,H2N-NH2,88(4),1.45
Nitrogen,H2N-NHCH3,297(8),1.45
Nitrogen,$\text{H}_2\text{N-N(CH}_3\text{)}_2$,271,1.45
Nitrogen,H2N-NHC6H5,264,1.45
Nitrogen,HN-N2,213,1.25
Nitrogen,ON-N,38,1.4
Nitrogen,ON-NO2,480.7(42),2.26
Nitrogen,O2N-NO2,39.8(8),1.78
Nitrogen,HN=NH,57.3(21),1.25
Nitrogen,N#N,946,1.1
Nitrogen,N-O,630.57(13),1.15
Nitrogen,HN=O,481,1.2
Nitrogen,NN-O,167,1.19
Nitrogen,ON-O,305,1.21
Nitrogen,N-P,617(21),1.49
Nitrogen,N-S,464(21),1.5
Osmium,O3Os-O,301(21),1.71
Oxygen,O-O,498.34(20),1.21
Oxygen,O-Br,235.1(4),1.72
Oxygen,HO-CH3,377(13),1.43
Oxygen,HO-CH=CH2,364,1.37
Oxygen,HO-C6H5,456,1.36
Oxygen,HO-CH2C6H5,431,1.43
Oxygen,HO-CHO,322,1.34
Oxygen,HO-COCH3,402(13),1.36
Oxygen,HO-COC2H5,452(21),1.36
Oxygen,O-Cl,180,1.57
Oxygen,HO-Cl,272(4),1.69
Oxygen,O-F,251(13),1.35
Oxygen,O-FO,222(17),1.42
Oxygen,FO-OF,467,1.42
Oxygen,O-I,261(84),1.87
Oxygen,HO-I,184(21),1.99
Oxygen,O-N,234(13),1.21
Oxygen,HO-NCH3,630.57(13),1.41
Oxygen,$\text{HO-OC(CH}_3\text{)}_3$,209,1.46
Oxygen,HO-OH,192(8),1.47
